Name	Tree	Gadget	Constraint	Witness	Key	Proof	Verify
MiMC256_4	0.647585	0.108605	1.23689	0.647231	478.828	448.25	15.3864
MiMC256_5	0.709118	0.023085	0.795912	0.452584	621.48	592.516	15.2313
MiMC256_6	1.35677	0.033101	0.880043	0.568334	749.751	710.853	14.6923
MiMC256_7	2.69064	0.035961	1.00913	0.667706	879.616	823.775	14.7199
MiMC256_8	5.30182	0.044496	1.19974	0.774921	999.771	923.634	14.6484
MiMC256_9	10.7483	0.047754	1.37114	0.888447	1144.58	1048.74	14.7374
MiMC256_10	21.5825	0.053285	1.525	0.980376	1254.13	1142.07	14.8003
MiMC256_11	43.3293	0.058013	1.70698	1.11108	1384.79	1288.4	14.5732
MiMC256_12	87.7516	0.067873	1.85559	1.22345	1501.07	1383.48	14.7007
MiMC256_13	175.051	0.081513	2.04252	1.34732	1619.24	1478.18	14.706
MiMC256_14	348.06	0.096944	2.29162	1.39772	1760.05	1595.26	14.8921
MiMC256_15	696.839	0.105749	2.48935	1.70473	1873.32	1698.92	14.6567
MiMC256_16	1397.76	0.111735	2.60341	1.65863	1953.97	1816.02	14.8985
MiMC256_17	2779.67	0.116104	2.7257	1.76874	2111.97	1939.04	14.6959
SHA256_4	0.007782	18.6769	39.1249	9.81613	10524	2286.95	14.6876
SHA256_5	0.017617	18.9688	46.0336	13.3343	13540.8	2910.94	14.6101
SHA256_6	0.027653	23.12	58.6162	17.3793	16508.3	3547.9	15.2833
SHA256_7	0.04736	31.5836	79.1744	27.245	20977.2	4463.05	14.7573
SHA256_8	0.071276	34.0358	80.9589	23.2059	22500.6	4675.45	14.9662
SHA256_9	0.134444	37.4035	92.6063	26.4458	26432.2	5738.39	14.8611
SHA256_10	0.254919	41.8708	103.871	30.0313	28358.4	5696.3	14.5834
SHA256_11	0.49766	46.7936	118.486	33.1325	31272.7	6394.35	14.5519
SHA256_12	0.958892	51.9842	130.458	36.4395	34427.7	7369.88	14.6622
SHA256_13	1.85084	56.4425	140.638	39.9814	37827.8	8681.01	14.5931
SHA256_14	3.683	61.707	152.42	43.4115	40364.6	8792.72	14.6637
SHA256_15	7.34884	66.3547	163.618	46.369	42848	8861.39	14.7393
SHA256_16	14.7851	70.8657	173.849	50.1602	46887.8	11062.2	14.7453
SHA256_17	29.9386	75.7843	186.663	53.6434	49385.6	11046.2	14.5555
SHA512_4	0.024856	37.7251	86.2092	24.7013	24870.2	5576.01	14.832
SHA512_5	0.030609	53.0418	116.027	32.6915	31683.8	6420.8	14.7173
SHA512_6	0.045857	64.5728	144.796	41.3826	39326.9	8871.04	15.0662
SHA512_7	0.061839	77.323	174.516	49.3833	47204.2	11094.3	14.9602
SHA512_8	0.102695	90.1023	203.393	58.7238	53349.4	11328.3	15.0134
SHA512_9	0.191798	101.56	235.581	66.2014	60311.2	12795.1	14.7446
SHA512_10	0.340075	114.341	260.435	74.6307	67787.2	14723.2	14.807
SHA512_11	0.649593	127.201	290.381	82.8549	75764.4	17231.7	14.901
SHA512_12	1.2562	139.759	318.723	91.1602	81994.1	17546.8	14.73
SHA512_13	2.54586	151.808	342.24	99.8033	90958	21877	14.7405
SHA512_14	4.96558	163.535	370.008	106.407	96821.6	22091.3	14.8461
SHA512_15	10.0118	176.188	400.409	114.207	102616	22318.6	14.7342
SHA512_16	19.8335	188.046	421.17	123.345	108451	22477.6	14.7177
SHA512_17	40.1584	199.789	461.404	130.946	115967	25324.1	14.6645
