MiMC512F
Height	Tree	Gadget	Constraint	Witness	Key	Proof	Verify
4	9.81367	0.230967	4.63589	0.540692	1339.81	1227.16	15.2918
5	35.6909	0.145308	5.48008	0.858943	1832.09	1616.07	14.9935
6	4.65075	0.14923	5.79846	0.745092	2190.23	1951.25	15.2515
7	8.40821	0.180724	6.93215	0.80192	2535.66	2251.72	15.7952
8	14.0912	0.243622	7.73359	0.917892	2923.48	2611.64	15.6872
9	25.2551	0.260735	8.05599	1.07904	3404.47	3222.15	15.2319
10	66.1778	0.308164	9.06997	1.21695	3750.93	3395.19	15.1642
11	104.922	0.32685	9.5298	1.42732	4120.2	3857.1	21.9155
12	178.882	0.356166	10.7925	1.46805	4423.53	4173.82	15.7342
13	358.63	0.384979	10.8272	1.5988	4730.28	4478.13	16.5463
14	720.09	0.499564	11.9754	1.7587	5097.63	4889.78	16.3774
15	1429.54	0.514634	12.7543	1.92307	5462.94	5196.05	15.5902
16	2834.88	0.551459	13.482	2.07096	5791.73	5255.6	15.5439
MiMC512F_2K
Height	Tree	Gadget	Constraint	Witness	Key	Proof	Verify
4	0.988142	0.066413	2.24143	0.33851	799.643	803.207	15.6995
5	1.58514	0.094333	2.93059	0.446559	1118.12	1079.45	15.5453
6	6.69285	0.101253	3.63447	0.560762	1308.74	1249.98	15.6576
7	4.84048	0.129161	4.38006	0.577297	1544.79	1471.62	15.0911
8	9.08321	0.165838	5.08169	0.723498	1804.17	1665.44	15.2387
9	16.0002	0.164718	5.79631	0.689605	2098.64	1942.88	15.1088
10	30.0737	0.186077	6.17749	0.735153	2270.65	2121.24	15.2642
11	168.331	0.222234	6.73911	1.02667	2481.1	2254.77	15.0976
12	113.326	0.268535	7.17917	0.910532	2668.81	2463.97	15.1041
13	221.555	0.302682	7.62372	1.01994	2792.16	2670.32	14.9957
14	442.654	0.316257	8.03419	1.0756	3070.66	2936.33	15.0562
15	875.348	0.329523	8.5119	1.14797	3204.35	3098.68	15.0329
16	1758.76	0.341592	8.90704	1.28161	3411.56	3377.44	15.4231
