MiMC512F
Height	Tree	Gadget	Constraint	Witness	Key	Proof	Verify
4	32.1292	0.217675	4.29335	0.535695	1310.75	1244.82	15.0754
5	1.51524	0.113733	4.69209	0.719796	1737.85	1569.86	14.9577
6	1.66787	0.137213	5.76485	0.750361	2101.91	1919.48	15.0883
7	2.36526	0.148086	6.5567	0.772062	2433.45	2289.2	15.2721
8	4.02673	0.205558	7.98133	0.930537	2861.98	2619.04	15.0677
9	7.71748	0.225414	8.16235	1.05485	3294.86	3085.55	15.608
10	16.2049	0.263915	8.82296	1.22854	3823.11	3603.93	15.6938
11	49.7803	0.304308	9.82325	1.62594	4142.45	3803.55	14.9727
12	70.3354	0.308807	10.2777	1.67145	4430.55	4181.7	15.3156
13	162.97	0.329186	11.0317	1.59933	4635.51	4313.9	15.0427
14	223.398	0.436086	11.9957	1.75469	5004.75	4899	15.0648
15	452.366	0.457249	12.6132	1.89074	5400.67	5153.34	15.0542
16	916.334	0.49744	13.4131	2.01543	5735.16	5561.15	15.0738
MiMC512F_2K
Height	Tree	Gadget	Constraint	Witness	Key	Proof	Verify
4	1.25454	0.059026	2.17729	0.339125	872.697	786.361	15.114
5	0.791114	0.070218	2.84389	0.358263	1218.56	1094.98	15.1582
6	1.03372	0.090065	3.54541	0.567935	1450.74	1301.94	15.1214
7	1.61406	0.103554	4.38088	0.674012	1710.05	1476.67	15.0843
8	4.70808	0.127464	5.09106	0.80604	1889.75	1720.02	15.2082
9	4.84613	0.136123	5.77644	0.708424	2161.62	1969.14	15.1383
10	10.2093	0.161519	6.20766	0.759116	2454.18	2270.95	15.1181
11	43.0695	0.198331	7.0684	0.876457	2660.42	2317.2	15.2187
12	37.2943	0.221951	7.17371	0.953086	2878.8	2613.58	15.3894
13	86.8311	0.241269	7.94109	1.04775	3153.62	3037.45	15.6378
14	205.793	0.258676	8.4505	1.10551	3442.7	3148.75	15.1098
15	291.103	0.274866	10.2903	1.22717	3591.73	3190.71	15.1231
16	630.718	0.289154	8.94658	1.26375	3808.65	3505.68	15.1885
